accession_id	country	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region	1	2	3	4	5	6	7	8	9	10	grp	pos
PI_442317	Mexico	Calabaza de India	Cucurbita pepo	Fruits light green, white mottling, pyriform, 17cm long, 17cm diam.	NA	Landrace	South/Latin America	1e-5	0.88956	0.007604	0.092345	0.01043	1e-5	1e-5	1e-5	1e-5	1e-5	6	127
PI_442318	Mexico	Calabaza de India	Cucurbita pepo	Fruits green, some mottling, round, 13cm long, 13cm diam.	NA	Landrace	South/Latin America	1e-5	0.920918	0.018293	0.006463	0.030351	1e-5	1e-5	0.001813	1e-5	0.022122	6	88
PI_442319	Mexico	Calabaza de India	Cucurbita pepo	Fruits green, mottled, cylindrical, 23cm long, 16cm diam.	NA	Landrace	South/Latin America	0.030889	0.860025	1e-5	0.073909	7.51e-4	1e-5	0.034376	1e-5	1e-5	1e-5	6	129
PI_442320	Mexico	Calabaza de India	Cucurbita pepo	Fruits white, green stripes, pyriform-cylindrical, 19cm long, 11cm diam.	NA	Landrace	South/Latin America	0.002569	0.912162	1e-5	0.072735	1e-5	1e-5	0.006849	0.005635	1e-5	1e-5	6	142
PI_442321	Mexico	Calabaza de Manteca	Cucurbita pepo	Fruits light green, white spots, 17cm long, 13cm diam.	NA	Landrace	South/Latin America	0.03185	0.705293	1e-5	0.072751	1e-5	0.05453	0.03962	0.046727	1e-5	0.0492	6	145
PI_442322	Mexico	Calabaza de Manteca	Cucurbita pepo	Fruits light green, white spots, oval, 18cm long, 14cm diam.	NA	Landrace	South/Latin America	0.027718	0.734792	1e-5	0.090424	1e-5	0.033336	1e-5	0.11368	1e-5	1e-5	6	158
PI_442325	Mexico	Calabaza de Manteca	Cucurbita pepo	Fruits light green, lighter green mottling, cylindrical, 25cm long, 12cm diam.	NA	Landrace	South/Latin America	0.028208	0.585828	0.009559	0.167585	0.008036	0.091912	0.015062	0.072374	0.021424	1e-5	6	175
PI_612862	Mexico	20-3	Cucurbita pepo	Obloid, slightly ribbed, dark green, hard rind, 12.5 cm long, 15 cm wide, flesh unusually deep orange and thick.	NA	Cultivated material	South/Latin America	0.058036	0.787953	0.029315	0.093558	1e-5	1e-5	1e-5	0.012797	0.018302	1e-5	6	154
PI_612863	Mexico	20-4	Cucurbita pepo	Obloid and ribbed, green reticulated and spotchy, 13.5 cm long, 20 cm wide, rind hard, flesh pale orange.	NA	Cultivated material	South/Latin America	0.013377	0.785399	0.009531	0.063861	1e-5	1e-5	0.052592	0.0752	1e-5	1e-5	6	156
PI_615120	Mexico	Guiches (Guichayota)	Cucurbita pepo	Single fruit collection with 5381 (C. moschata); farily typical pepo.	NA	Landrace	South/Latin America	1e-5	0.807335	0.012897	0.054853	1e-5	0.090051	1e-5	1e-5	0.005451	0.029374	6	114
PI_511977	Mexico	Calabaza	Cucurbita pepo	Sown in June, harvested September/October. Fruit cooked as a sweet, seeds roasted or ground for sauces.	NA	Landrace	South/Latin America	0.010275	0.988217	0.001438	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	6	82
PI_511978	Mexico	Calabaza	Cucurbita pepo	Sown in May, harvested in October. Cook mature flesh, toast or grind seeds for sauces.	NA	Landrace	South/Latin America	0.001546	0.896372	1e-5	0.048027	0.03296	0.016043	0.005013	1e-5	1e-5	1e-5	6	132
PI_615123	Mexico	Huitzayota	Cucurbita pepo	Mixed sample (seed from several fruit).	NA	Landrace	South/Latin America	1e-5	0.825895	1e-5	0.035326	0.01321	0.068866	0.007816	0.048847	1e-5	1e-5	6	113
PI_438716	Mexico	Huiche	Cucurbita pepo	Fruit obovate, slightly ribbed, mottled light and dark green. Peduncle not flared. Seeds slender, to 3cm long, tan. Received as Cucurbita mixta.	NA	Landrace	South/Latin America	1e-5	0.924443	1e-5	0.030047	1e-5	1e-5	1e-5	1e-5	0.04544	1e-5	6	130
PI_511981	Mexico	Calabaza	Cucurbita pepo	Sown in May, harvested in October/November. Prepare sweets from flesh, toast or grind seeds.	NA	Landrace	South/Latin America	1e-5	0.954199	1e-5	0.045721	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	6	100
PI_511982	Mexico	Calabaza	Cucurbita pepo	Sown in May/June, harvested in October/November. Cook mature flesh, toast or grind seeds.	NA	Landrace	South/Latin America	1e-5	0.99991	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	6	85
