accession_id	removed	country	accession_name	taxonomy	improvement_status	cultivar_class	narrative	region	1	2	3	4	5	6	grp	pos
PI_458675		Argentina	TWW-45	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Fruit white. Local name Naclao.	South/Latin America	1E-05	1E-05	0.99995	1E-05	1E-05	1E-05	4	202
PI_162670		Argentina	No. 181	Cucurbita maxima	NA	NA	NA	South/Latin America	0.468897	0.037522	0.050545	0.372548	1E-05	0.070478	2	330
PI_458672		Argentina	TW 1080	Cucurbita maxima	NA	NA	Probably imported from Misiones.  Fruit flattish, smooth surface, orange, medium vein tracts, light color, producing stripes.  Flesh lemon, thin.  Seed cavity large. Local name Zapallo.	South/Latin America	1E-05	1E-05	0.097648	0.164152	0.604596	0.133584	6	99
PI_458703		Argentina	TWW-76	Cucurbita maxima	NA	NA	Donated by J. Camara-Hernandez. Seeds Banana type, large, golden brown, margins  lighter.	South/Latin America	0.143023	0.048518	0.399554	0.302597	0.016423	0.089885	4	216
PI_458673		Argentina	No Known Plant ID	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Fruit solid white. Local name Tabalque.	South/Latin America	1E-05	1E-05	0.99995	1E-05	1E-05	1E-05	4	203
PI_162669		Argentina	No. 182	Cucurbita maxima	NA	NA	NA	South/Latin America	0.443465	1E-05	0.009847	0.482642	0.064026	1E-05	1	410
PI_458685		Argentina	TWW-55	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Seeds large, white, margins white. Local name Anton.	South/Latin America	1E-05	1E-05	0.825507	0.174453	1E-05	1E-05	4	192
PI_458653		Argentina	TW 1080	Cucurbita maxima	NA	NA	Donated by E. M. Zardini.	South/Latin America	1E-05	0.182567	0.099899	0.588841	0.128673	1E-05	1	436
PI_458700		Argentina	TWW-70	Cucurbita maxima	NA	NA	Seeds large, dirty white, margins present. Local name Capana-Ingles.	South/Latin America	1E-05	1E-05	0.115948	0.828948	0.055074	1E-05	1	397
PI_414676		Argentina	Zapinski	Cucurbita maxima	NA	NA	Bush type plant. Prolific in fruiting.	South/Latin America	0.089581	1E-05	0.203173	0.653549	0.036138	0.017549	1	442
G_24402		Uruguay	Zapallo Rotando	Cucurbita maxima	NA	NA	NA	South/Latin America	1E-05	0.054829	0.458708	0.470405	1E-05	0.016039	4	221
PI_470933		Peru	No. 2	Cucurbita maxima	NA	NA	Leaves wide. Spreading habit. Fruits up to 50 kg. Local name Zapallo grande.	South/Latin America	1E-05	0.053389	1E-05	1E-05	0.033262	0.913319	3	230
PI_244702		Brazil	Moranga	Cucurbita maxima	NA	NA	Fruits flattened; orange.	South/Latin America	0.335855	1E-05	0.083975	0.171849	0.361967	0.046344	6	2
PI_244704		Brazil	Ovo de Ganzo 619 Moganga	Cucurbita maxima	NA	NA	Fruits the size of small 'Table Queen'; buff. Quality good.	South/Latin America	0.313254	1E-05	0.132349	0.096284	0.458094	1E-05	6	4
G_30649		Burundi	GMN 152	Cucurbita maxima	NA	NA	NA	Africa	1E-05	1E-05	1E-05	1E-05	0.99995	1E-05	6	33
G_30655		Burundi	GMN 279	Cucurbita maxima	NA	NA	NA	Africa	1E-05	1E-05	1E-05	1E-05	0.99995	1E-05	6	32
PI_175124		India	Kadu	Cucurbita maxima	NA	NA	NA	Asia	0.096314	0.006871	0.114011	0.606858	1E-05	0.175935	1	458
PI_165558		India	Kadu	Cucurbita maxima	NA	NA	NA	Asia	0.646267	0.00363	0.020108	0.052186	0.277799	1E-05	2	358
PI_163227		India	No. 8470	Cucurbita maxima	NA	NA	NA	Asia	0.267464	0.09815	0.072258	0.366562	0.064399	0.131166	5	126
