accession_id	country	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region	1	2	3	4	5	6	grp	pos
PI_634695	China	ZHAN YANG XI HU LU	Cucurbita moschata	NA	NA	NA	Asia	0.175968	1e-5	1e-5	1e-5	1e-5	0.823992	1	243
PI_418965	China	Sui-De-Fu	Cucurbita moschata	Fruit round, sweet. Midseason.	NA	NA	Asia	1e-5	1e-5	0.622286	0.377674	1e-5	1e-5	5	77
Grif_1738	Nepal	Grif 1738	Cucurbita moschata	Identifications by Dr. C. R. Gunn.	NA	NA	Asia	1e-5	1e-5	0.99995	1e-5	1e-5	1e-5	5	68
PI_634705	Nepal	8083	Cucurbita moschata	NA	NA	Uncertain improvement status	Asia	1e-5	1e-5	0.99995	1e-5	1e-5	1e-5	5	73
Grif_935	Nepal	86-44	Cucurbita moschata	Received as Cucurbita sp.	NA	NA	Asia	1e-5	1e-5	0.99995	1e-5	1e-5	1e-5	5	69
PI_135371	Afghanistan	4947	Cucurbita moschata	Fruit globose with an exceptionally long neck (13in), 22in in length; rind gold buff with splashes of paler gold, faintly ribbed; flesh orange, sweet, and tender; seed cavity heart-shaped, 5 by 8in, an excellent variety	NA	NA	Asia	0.685765	0.269651	0.044554	1e-5	1e-5	1e-5	6	6
PI_169415	Turkey	3615	Cucurbita moschata	NA	NA	NA	Europe	0.800656	1e-5	0.199304	1e-5	1e-5	1e-5	6	23
PI_174194	Turkey	8766	Cucurbita moschata	NA	NA	NA	Europe	0.799992	1e-5	0.199968	1e-5	1e-5	1e-5	6	22
PI_182197	Turkey	10624	Cucurbita moschata	NA	NA	NA	Europe	0.289504	0.340671	0.27446	0.057276	1e-5	0.038079	6	32
PI_169413	Turkey	3184	Cucurbita moschata	NA	NA	NA	Europe	0.99995	1e-5	1e-5	1e-5	1e-5	1e-5	6	12
PI_165033	Turkey	KARAKABAK	Cucurbita moschata	NA	NA	NA	Europe	0.527501	1e-5	0.420193	0.031311	0.020975	1e-5	5	48
PI_169410	Turkey	2111	Cucurbita moschata	Sweet type	NA	NA	Europe	0.672273	0.214136	0.113562	1e-5	1e-5	1e-5	6	5
