,Iteration,Sample_name,Coverage,Difference
106,106,PI_185033,98.7315557856588,0.0258866166192178
107,107,PI_261780,98.757442402278,0.0258866166192178
108,108,PI_534562,98.7833290188972,0.025886616619232
109,109,PI_442291,98.8092156355164,0.025886616619232
110,110,PI_442296,98.8351022521356,0.0258866166192462
111,111,PI_615125,98.8609888687549,0.0258866166192604
112,112,PI_615100,98.8868754853741,0.0258866166191609
113,113,PI_512789,98.9127621019933,0.0258866166191609
114,114,PI_368597,98.9386487186125,0.0258866166191893
115,115,PI_615092,98.9645353352317,0.0258866166191893
116,116,PI_512662,98.9904219518509,0.0258866166191893
