gid,PC1,PC2,PC3,PC4
PI_451848,-0.0504282119560651,0.0184930624636915,0.0447713768770129,-0.0273361601812305
PI_482560,0.0832699269793293,0.0213756465342498,-0.0407189457929281,0.0227915373972504
PI_451846,-0.0364523257158882,0.00112914190947354,0.0537956188812888,-0.0243769334019737
PI_358507,-0.0280315507827415,-0.108483010127469,-0.0247597890434742,-0.00480391766066753
PI_550690,-0.0345684666319317,-0.245051050813638,-0.138775083231135,-0.133040099978162
PI_482564,0.0835182523608318,0.0224916145056712,-0.042063408532422,0.0237091028747521
PI_550693,-0.0167054651448642,-0.220302088786131,-0.128160633942948,-0.136525361343368
PI_183258,0.00904480965568727,-0.0758181319173002,0.0630267691962884,0.182181645269152
PI_550694,-0.0348438082871018,-0.245127496336593,-0.13869073003458,-0.133142931306847
PI_482565,0.079211592648661,0.0195770376616729,-0.0400308153073162,0.0240686313572545
PI_482567,0.0836055562015944,0.0201940222941824,-0.0419111194072971,0.0194586340919778
PI_550692,-0.0173719268094803,-0.219753780543898,-0.129378295918649,-0.135487398758103
PI_512177,-0.0135234242304301,-0.000172302060940974,0.0773067989522622,-0.0155142942195452
PI_438759,-0.0794753873422202,0.0615596809197559,-0.0849222485851957,0.0164458759606447
PI_438756,-0.0817651477562764,0.0546407899502196,-0.0871714364116647,0.0206213603094001
PI_438758,-0.0800007059501054,0.0580285485370459,-0.0927176362915265,0.0241208344394281
PI_438752,-0.0827138766614031,0.0585473193729523,-0.0818563822939736,0.0207428330531994
PI_438751,-0.0807833227801746,0.0566868619720877,-0.0816693860315341,0.026994026462242
PI_438753,-0.0830976972148062,0.0629964333936599,-0.0848530526665379,0.0206130039336651
PI_438760,-0.0554447534034989,0.0328004762096027,-0.00183576829687305,0.000458016497354522
PI_550689,-0.0350514338440747,-0.215192977586017,-0.106191343185338,-0.106851390761251
PI_482553,0.0833485615691173,0.0208696073612263,-0.0447654995376514,0.020635049239079
PI_482552,0.0767656134678649,0.0183973670769056,-0.0384947252199383,0.0214182103418798
PI_482554,0.0763082683015462,0.0176161736485028,-0.0379125270522463,0.0259872605956427
PI_482556,0.0787230064335453,0.0167969341481189,-0.0398297440979281,0.0268025987252057
PI_482548,0.0796778873765117,0.0178393182403833,-0.0432750015326208,0.0259537533301657
