gid,PC1,PC2,PC3,PC4
PI_368561,-0.0390605487034878,-0.0029840339092324,-0.0403051993068464,0.000274985999863793
PI_368567,-0.0300875387341269,0.00888075050384568,-0.0427574500908966,0.00489489752769243
PI_368564,-0.0502519462831709,-0.00534009128325473,-0.0387737006157872,0.00165049441966136
PI_92835,-0.0140862287705097,-0.00227201658967923,-0.0130745988379273,-0.000299766859240867
PI_368565,-0.0523882968009656,-0.00940660217033347,-0.0316852773398258,-0.00336121507040456
PI_164988,0.0300799657907181,0.0294316821385888,-0.00188945934529132,-0.0508090506048073
PI_458684,0.0659025269299099,0.0607444800816372,0.0231308604593749,0.111773731229458
PI_458683,0.0892139932062975,0.0797651701607485,0.0349741527244599,0.0994203999273177
PI_458686,0.0828861699482235,0.0594229012212312,0.0267203675083444,0.0686621616545279
PI_458685,0.104950772976645,0.0755605166624545,0.012944468005762,0.0726130891124418
PI_458688,0.0880509583047151,0.0851874058417122,0.0223966951563026,0.0413609860758162
PI_458687,0.0880196382751718,0.0611286003765792,0.0153819757851663,0.031340764784438
PI_458689,0.1000568886744,0.0854402442432254,0.0344514060882411,0.0690692392542488
PI_458691,0.000751135706738401,0.0221936464659125,-0.0317634791656368,0.0342929709652945
PI_458690,0.0980650030216537,0.0505008065230221,-0.00966323273030416,0.128476894550621
PI_458693,0.0816717497964559,0.0655775583192139,0.0230296636101504,0.113293357411686
PI_368570,-0.0422275526016625,0.000736697692663111,-0.0556062058513614,0.00595815586508439
PI_458695,0.0845166694437733,0.0865099012197419,0.0195333937891129,0.0618885457856955
PI_458694,0.073523587950576,0.0579642172608158,0.0149542402643982,0.105598816303353
PI_141638,-0.0482399325455389,-0.00865734778694941,-0.0335386259256337,-0.0025937762359775
PI_458696,0.0866347027121618,0.069994368970001,0.025786308471684,0.041060963739994
PI_414676,0.0587092619955262,0.0416753149824714,0.0109852882892481,0.147470506761499
PI_458699,0.0626505594176175,0.0517757894887203,-0.00741526009881636,-0.0154348771072731
PI_458698,0.0786579041467897,0.0642100281358398,0.0127699405711598,0.0558904648397086
PI_141632,-0.0215213322114229,0.00866528215111262,-0.0256637451026736,0.00130524424748513
PI_173679,-0.0562369432403279,-0.0235254679723241,-0.0218686250451973,-0.00504038419813832
PI_141633,-0.000159144720757109,0.0185609542618296,-0.0406872264532004,-0.0216114739546439
PI_162670,0.00525013897154859,0.00237996511974898,-0.0244721134324129,0.0121911468010157
PI_162671,-0.00810752455829205,0.0123035947514027,-0.0304779226764899,0.000260236482893212
PI_368582,-0.0483113881878536,-0.00782064072689109,-0.0398011362932412,-0.0119178047744665
PI_368583,-0.0361551667668826,0.00860929664913814,-0.0590054406916911,0.000672297571407417
PI_135368,-0.0295855668548723,-0.0104450441829873,-0.0332117114451182,-0.00286566209800977
PI_135365,-0.0267713297304199,-0.00587099569617656,-0.0339167139795568,0.00568250343360447
PI_458662,0.0673098461935292,0.0437154896880239,0.00499669690947485,0.152622726799975
PI_458661,0.0558612258889666,0.0438784518430479,0.0139196913984933,0.0928402251070364
PI_175701,-0.0550698353474966,-0.0307022191579468,-0.0301083814355297,-0.00494600731761835
PI_458664,0.0712806144242816,0.0427762610857987,0.00832899474815478,0.155005979100915
