gid,PC1,PC2,PC3,PC4
G_23732,0.104059889348556,0.0240193717254923,-0.142405265788245,0.0152391427816373
G_23731,0.103339517932825,0.0287001963814767,-0.141992309398718,0.0178369874520974
PI_357897,-0.0247626026774599,-0.0457417178704802,-0.00635951231698296,-0.00831725530575968
G_23730,0.100479099100049,0.0240345572983543,-0.152847316209867,0.00906968336650624
PI_357890,-0.0281744187167295,-0.043706992204571,-0.0185701863116476,-0.0196773478887034
PI_379301,-0.031158581602657,-0.0297464170436843,-0.0159966560029401,-0.0188538653258706
PI_357891,0.0280865431057571,-0.0497069589856913,-0.0147028453935259,0.0718224105544804
PI_379300,-0.0250570282808507,-0.0326957611326509,-0.0182362661304311,-0.02240173435333
G_22762,0.00581700866572159,0.00943788771590463,0.00403788763802009,0.0343517790924831
PI_379303,-0.0385835433682095,-0.0344068699398229,-0.0124161119679831,-0.0354299393641265
PI_379305,-0.0297275322819813,-0.0407238251897308,0.00951862630224893,-0.0184956327223088
PI_379304,-0.0281399273543466,-0.0547854189678669,-0.00295117309770027,0.00210699068882367
PI_220861,0.0291011613083413,-0.02054519737567,0.0433911417599027,0.0154191554229586
PI_357898,-0.0254020123341519,-0.0436890305222927,-0.00728200073091187,-0.0277582399262263
PI_357899,-0.0341816634806971,-0.0393045970087845,-0.0333436826721061,-0.0395293121858599
PI_162890,0.0094803773317031,0.0249823709687765,-0.0124350703266497,0.0329925503564432
PI_368562,0.00736035050424046,-0.0586641559756262,-0.00747257331206126,0.0476627135511199
PI_368563,-0.0347348048325927,-0.0436019466316197,-0.00636766221732072,-0.00518775916355718
PI_368561,0.0328319063587752,-0.0159810948559358,0.0497734416895594,0.0212688364540404
PI_368567,-0.00768546017336134,-0.0419009945908681,-0.0134085149683638,-0.0038593673994474
PI_93801,0.0368836635547411,0.0219688565438293,0.0461071215736389,0.0753557273317122
PI_368564,-0.021804010418751,-0.0431221397395972,-0.00853726527261234,-0.00704139291136477
PI_92835,-0.0141872649029731,-0.0101301758665333,0.00160057282638311,0.0240378588648869
PI_368565,-0.0325123889860298,-0.030662434250037,-0.00973546304931701,-0.0267301988641715
PI_164988,0.032873496718027,-0.000125504314863149,0.0532628496018366,0.0145089210481073
PI_458684,0.070930385770454,0.0123155250036274,-0.142452116100099,-0.0135631260030513
PI_458683,0.0809916855077263,0.0241008281880375,-0.157975872269715,-0.0270962294016961
PI_368568,-0.0265423455266329,-0.0436598601967874,-0.00681203446939748,-0.00539163381726256
PI_458686,0.0771876488635578,0.0238920113179264,-0.142795253008402,-0.0112809012199103
PI_458685,0.0928421692725138,0.0221546533283748,-0.0870104308652296,-0.00386039481347475
PI_458688,0.0893116660814407,0.0228181500818003,-0.0933387641737334,-0.00602092123032549
PI_458687,0.0863034408017044,0.0177977871812741,-0.0888190369437807,0.0146320676393932
PI_458689,0.0946479712953262,0.0290145200095377,-0.111208835373367,-0.0108282019004829
PI_458691,-0.00191186035437764,-0.0277549817765023,-0.0461259922044194,-0.00809626221548232
PI_458690,0.0681518333235876,-0.00213238797954929,-0.0679673554416049,0.0431647559053057
PI_458693,0.0700224414733946,0.00668435087591157,-0.146172390885044,-0.00239876438488848
PI_458692,0.0769987382846173,0.0127479558740631,-0.162695459629368,0.0137104583493049
PI_244702,-0.0201022539413364,0.0186009565907167,-0.0369812677874993,0.0131043645494138
PI_368570,-0.0206436059545881,-0.0484722733780134,-0.0142055313260213,-0.00990562392850343
PI_299573,-0.0331133112085451,0.0127086425103984,0.0122921559119453,-0.0347385404855138
PI_244704,-0.0216682020446026,0.0353129329358034,-0.0359274076389157,-0.00583988959044335
PI_458695,0.0952630986384826,0.0258789423847653,-0.141353597829018,-0.00815873567972088
PI_458694,0.0636967868781983,0.00776399888553313,-0.11329240396988,0.0393110481213754
PI_458697,0.0580858225321735,0.01270989053793,-0.0927001976701849,-0.0160526857042477
PI_141638,-0.0394339325275959,-0.0331839312723913,0.0156383925340894,-0.0245711748400317
PI_458696,0.0901062468020994,0.0245924145491766,-0.127100874854479,-0.0106324762844369
