country	accession_id	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region
Mexico	PI_532356	180	Cucurbita pepo subsp. fraterna	Fruit found 1 km E of PI 532355, single fruit larger with thicker rind, obovoid, faded yellow, 7cm long, 6cm wide. Rind 2mm thick.	NA	Wild material	South/Latin America
Mexico	PI_532385	Calabaza	Cucurbita pepo	Ellipsoid, obloid, to oblong, ribbed, finely green reticulated 7.5 to 19.5 cm long, 11.5-20 cm wide.  Rind usually hard.  Flesh orange.	NA	Landrace	South/Latin America
Mexico	PI_511973	Imai (Tepehuan)	Cucurbita pepo	Sown in June, harvested October/November.	NA	Landrace	South/Latin America
Mexico	PI_511974	Imai (Tepehuan)	Cucurbita pepo	Sown June, harvested September/October. Eat flowers, grind seeds for sauces, eat mature flesh cooked with raw sugar and milk.	NA	Landrace	South/Latin America
Mexico	PI_612864	20-5	Cucurbita pepo	Oblong, ribbed, dark green, 15.5 cm long, 15 cm wide, flesh orange.	NA	Cultivated material	South/Latin America
Mexico	PI_612865	20-6	Cucurbita pepo	Oblong, no ribs, dark green with lighter green speckles, 18.5 cm long, 14 cm wide, flesh thick pale orange.	NA	Cultivated material	South/Latin America
Mexico	PI_612866	20-7	Cucurbita pepo	Ellipsoid, very slightly ribbed, dark green with lighter green stripes along ribs and flecked between ribs, 18 cm long, 11.5 cm wide, very pale orange flesh.	NA	Cultivated material	South/Latin America
Mexico	PI_612867	20-8	Cucurbita pepo	Oblong, ribbed, uniformly finely green reticulated, 19.5 cm long, 13.5 cm wide, pale orange flesh.	NA	Cultivated material	South/Latin America
Mexico	PI_614683	HDW 5531	Cucurbita pepo subsp. fraterna	All fruits green and white striped maturing to orange; bitter.	NA	Wild material	South/Latin America
Mexico	PI_318830	Calabasa	Cucurbita pepo	Used as summer squash when young and tender. Resembles zucchini.	NA	Landrace	South/Latin America
Mexico	PI_511983	Calabaza de la Sierra	Cucurbita pepo	Sown in May/June, harvested in October/November. Use cooked flesh in baked sweets, toast or grind seeds.	NA	Landrace	South/Latin America
Mexico	PI_511967	Calabaza	Cucurbita pepo	Fruit green, roundish, blocky with distinct ridges. Sown June, harvested September. Cook mature flesh, toast or grind seeds to eat.	NA	Landrace	South/Latin America
Mexico	PI_511968	Calabaza	Cucurbita pepo	Sown June, harvested September/October. Cook mature flesh, grind or toast seeds.	NA	Landrace	South/Latin America
Mexico	PI_615117	Calabaza mayera	Cucurbita pepo	"NA"	NA	Cultivar	South/Latin America
Mexico	Ames_7770	Calabasa de Agua y Arrota	Cucurbita pepo	"NA"	NA	Cultivated material	South/Latin America
Mexico	PI_615131	Tzol	Cucurbita pepo	Sample taken from seed set aside to plant in 1985; old seed, but a mass sample.	NA	Landrace	South/Latin America
Mexico	PI_512192	Calabaza	Cucurbita pepo	Two fruits round shape, without typical (C. pepo) angular peduncle and lack of ridges on fruit.	NA	Cultivated material	South/Latin America
Mexico	PI_442335	Calabaza	Cucurbita pepo	Fruits with light green mottling, cream at maturity, oblong-cylindrical, 22cm long, 16cm diam.	NA	Landrace	South/Latin America
Mexico	PI_615129	Tzol	Cucurbita pepo	Three fruits from grower; they select seed for sowing from the larger fruit of the harvest. Sown in April, harvested June/July.	NA	Landrace	South/Latin America
Mexico	PI_442297	Calabaza de India	Cucurbita pepo	Fruits cream-white, mottled dark green stripes, round, 20cm long, 19cm diam. Rind 2mm thick. Locules separate. Flesh lemon yellow.	NA	Landrace	South/Latin America
Mexico	PI_512188	Calabaza india; Calabaza gavilan	Cucurbita pepo	Single fruit, grey-green with pronounced ribs.	NA	Cultivated material	South/Latin America
Mexico	PI_442331	Calabaza de Castilla	Cucurbita pepo	Fruits green, light green stripes, oblong-cylindrical, 18cm long, 15cm diam.	NA	Landrace	South/Latin America
Mexico	PI_512189	Calabaza india	Cucurbita pepo	Single fruit green, ribbed with mottled stripes. Fruit flesh and seed eaten by humans and fed to animals.	NA	Cultivated material	South/Latin America
Mexico	Ames_21650	TWW 163	Cucurbita pepo	One pollination split into 2 seed lots.	NA	Cultivated material	South/Latin America
Mexico	PI_615130	Tzolito	Cucurbita pepo	"Five fruits. Used only for seeds (roasted or ground for ""pipian""), sown in February with harvest in July/August."	NA	Landrace	South/Latin America
Brazil	Ames_21645	TWW 153	Cucurbita pepo	One pollination split into 2 seed lots.	NA	Cultivated material	South/Latin America
Brazil	Ames_21649	TWW 152	Cucurbita pepo	One pollination split into 2 seed lots.	NA	Cultivated material	South/Latin America
Argentina	Ames_21653	TWW 148	Cucurbita pepo	Large, late plants; split into 3 seed lots (=1 fruit self, 5 fruits sibbed, 3 fruit sibbed).	NA	Cultivated material	South/Latin America
Argentina	PI_234252	G56-31B	Cucurbita pepo	"NA"	NA	Uncertain improvement status	South/Latin America
Argentina	PI_458730	Zapallito Italiano (Tupungato magnif.)	Cucurbita pepo	Seeds medium-sized, dirty white, margins same color. Local name Zapallito  Italiano (Tupungato magnif.).	NA	Landrace	South/Latin America
Uruguay	Ames_24950	G 24401	Cucurbita pepo	"NA"	NA	Cultivated material	South/Latin America
Spain	PI_512800	S-CU-2	Cucurbita pepo	Sown February-March, harvested September-October. Used for livestock feed.	NA	Landrace	Europe
Spain	PI_261610	Calabacin	Cucurbita pepo	Eight inches long.	NA	Uncertain improvement status	Europe
Spain	PI_615139	Calabacin largo	Cucurbita pepo	Sown February, harvested September-November. Used as food.	NA	Landrace	Europe
Spain	PI_615135	Calabacino	Cucurbita pepo	"NA"	NA	Landrace	Europe
Spain	PI_512665	AN-CU-13	Cucurbita pepo	Sown May, harvested September-October. Received as Cucurbita maxima, winter squash.	NA	Cultivar	Europe
Spain	PI_512802	S-CU-4	Cucurbita pepo	Sown February, harvested September. Used for livestock feed.	NA	Landrace	Europe
Spain	PI_512701	A-CU-6	Cucurbita pepo	Sown May, harvested September. Used for local consumption.	NA	Cultivar	Europe
Spain	PI_512703	A-CU-12	Cucurbita pepo	Sown April, harvested August-September. Used fried or cooked.	NA	Landrace	Europe
Spain	PI_512709	A-CU-19	Cucurbita pepo	Sown May, harvested August. Fruit yellow, large. Used for local consumption.	NA	Landrace	Europe
Spain	PI_512710	AN-CU-1	Cucurbita pepo	Sown March, transplanted May. Harvested in July-August. Used for self-consumption.	NA	Landrace	Europe
Spain	PI_512729	AN-CU-25	Cucurbita pepo	Sown February, harvested July.	NA	Landrace	Europe
Spain	PI_512739	AN-CU-36	Cucurbita pepo	Sown May-June, harvested September-October. Used cooked and for stew.	NA	Landrace	Europe
Spain	PI_512785	CM-CU-7	Cucurbita pepo	Sown May, harvested August.	NA	Landrace	Europe
Spain	PI_512752	AS-CU-4	Cucurbita pepo	Sown February, harvested September. Used for black pudding and livestock feed.	NA	Landrace	Europe
Spain	PI_615138	Calabacin	Cucurbita pepo	Sown April-May, harvested August-September. Fruits white, small, very soft. Used for food.	NA	Landrace	Europe
Spain	PI_512754	AS-CU-6	Cucurbita pepo	Sown February-March, harvested September. Used for black pudding and livestock feed.	NA	Landrace	Europe
Spain	PI_512662	A-CU-9	Cucurbita pepo	Sown May, harvested August. Used for local consumption.Received as Cucurbita maxima, winter squash.	NA	Cultivar	Europe
Spain	PI_257287	Green Marrow	Cucurbita pepo	Received s Cucurbita maxima, re-ID per QS22 12/65 to C. pepo, squash.	NA	Uncertain improvement status	Europe
Spain	PI_512862	V-CU-85	Cucurbita pepo	Sown April, harvested August-September. Used for decorating.	NA	Landrace	Europe
Spain	PI_512776	C-CU-22	Cucurbita pepo	Sown May, harvested August-September. Self-consumption.	NA	Cultivar	Europe
Spain	PI_512755	AS-CU-7	Cucurbita pepo	Sown February-March, harvested September-October. Used for cooking and livestock feed.	NA	Landrace	Europe
Spain	PI_512780	C-CU-26	Cucurbita pepo	Sown March, harvested July-August. Self-consumption.	NA	Cultivar	Europe
Spain	PI_512782	CM-CU-4	Cucurbita pepo	Sown beginning May, harvested July-August.	NA	Landrace	Europe
Spain	PI_512806	V-CU-4	Cucurbita pepo	Sown March-April, harvested October-November. Used for decorating.	NA	Landrace	Europe
Spain	PI_512779	C-CU-25	Cucurbita pepo	Sown April-May, harvested July-August. Self-consumption.	NA	Cultivar	Europe
