country	accession_id	accession_name	taxonomy	improvement_status	cultivar_class	narrative	region
United States	PI_318429	Ames 720	Cucurbita maxima	Breeding	NA	Male sterile B. Segregates (approximately) 1 normal to 1 male sterile. Vigorous, medium maturing, semibush. Fruits oblate 7 to 9 by 8 to 12 inches, orange-red; 10 pounds; flesh 1.25 to 2.25 inches, orange.	North America
United States	G_28224	'Sweet Mama'	Cucurbita maxima	Cultivar	Kobocha	NA	North America
United States	PI_318422	Ames 713	Cucurbita maxima	Breeding	NA	Inbred selection. Vigorous, medium maturing, bush. Fruits many, 6 to 7 by 7 to 8 inches, orange or salmon; 3.55 pounds; flesh 1 to 1.5 inches, orange.	North America
United States	PI_318419	Ames 710	Cucurbita maxima	Breeding	NA	Inbred selection. Vigorous, medium maturing, bush. Fruits 6 by 7.5 to 8.25 inches, orange or salmon; 3.21 pounds; flesh 1 to 2 inches, orange.	North America
United States	PI_318420	Ames 711	Cucurbita maxima	Breeding	NA	Inbred selection. Vigorous, medium maturing, bush. Fruits many, oblate 5 to 5.5 by 7.5 to 9 inches, orange or salmon; 4.82 pounds; flesh 1 to 1.5 inches, orange.	North America
United States	PI_267750	'Candy Roadster'	Cucurbita maxima	NA	NA	Grown for over 100 years in North Carolina mountains. Plants vigorous, early maturing; leaf large; fruit slate gray, oblong, smooth, 20 by 9 inches. Susceptible to powdery mildew.	North America
United States	G_27743	Big Max	Cucurbita maxima	Cultivar	Show	NA	North America
United States	PI_318423	Ames 714	Cucurbita maxima	Breeding	NA	Inbred selection. Vigorous, medium maturing, bush. Fruits many, oblate 4 to 4.5 by 7.5 to 8 inches, orange or salmon; 3.72 pounds; flesh .75 to 1.5 inches, yellow.	North America
United States	PI_220861	Hung	Cucurbita maxima	NA	NA	Fruits large, 14 inches by 15 inches, yellow.	North America
United States	PI_518679	Turban Squash	Cucurbita maxima	Cultivated	NA	Local type.	North America
United States	PI_325133	Gold Nugget	Cucurbita maxima	Cultivar	Kuri	Bush with short internodes. Fruits round oblate, 590 grams; shell hard, red orange; flesh dark gold orange, fine texture, no fiber, dense, 3 cm. thick; early; 8 per plant.	North America
