country	accession_id	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region
United States	PI_604506	Large Cheese	Cucurbita moschata	"Info. from Corneli cat. No. 14 -- 110 days. Uses - Home, market and canning. Derives name from the cheese box shape of fruits. Fruit 7"" deep, 15 inches in dia., sometimes larger. Weigh 12 to 15 lbs. Very flat shape, slightly grooved. Shell hard. Skin deep yellow. Flesh fairly thick, of fine quality and flavor. Orange-yellow."	Cheese	Cultivar	North America
China	PI_419137	NA	Cucurbita moschata	Sweet type	NA	"NA"	Asia
China	PI_419083	Mou Pan	Cucurbita moschata	"NA"	NA	"NA"	Asia
China	Grif_1583	FENG ZHEN FAN GUA	Cucurbita moschata	NA	NA	NA	Asia
China	PI_419202	NA	Cucurbita moschata	"NA"	NA	"NA"	Asia
China	PI_634695	ZHAN YANG XI HU LU	Cucurbita moschata	NA	NA	NA	Asia
China	PI_418965	Sui-De-Fu	Cucurbita moschata	Fruit round, sweet. Midseason.	NA	"NA"	Asia
Nepal	Grif_1738	Grif 1738	Cucurbita moschata	Identifications by Dr. C. R. Gunn.	NA	"NA"	Asia
Nepal	PI_634705	8083	Cucurbita moschata	"NA"	NA	Uncertain improvement status	Asia
Nepal	Grif_935	86-44	Cucurbita moschata	Received as Cucurbita sp.	NA	"NA"	Asia
Afghanistan	PI_135371	4947	Cucurbita moschata	Fruit globose with an exceptionally long neck (13in), 22in in length; rind gold buff with splashes of paler gold, faintly ribbed; flesh orange, sweet, and tender; seed cavity heart-shaped, 5 by 8in, an excellent variety	NA	"NA"	Asia
Turkey	PI_169415	3615	Cucurbita moschata	"NA"	NA	"NA"	Europe
Turkey	PI_174194	8766	Cucurbita moschata	"NA"	NA	"NA"	Europe
Turkey	PI_182197	10624	Cucurbita moschata	"NA"	NA	"NA"	Europe
Turkey	PI_169413	3184	Cucurbita moschata	"NA"	NA	"NA"	Europe
Turkey	PI_165033	KARAKABAK	Cucurbita moschata	"NA"	NA	"NA"	Europe
Turkey	PI_169410	2111	Cucurbita moschata	Sweet type	NA	"NA"	Europe
Turkey	PI_169441	BOGUNLER 2196	Cucurbita moschata	"NA"	NA	"NA"	Europe
Mexico	PI_438781	HW 0179	Cucurbita moschata	Fruit ovoid, ribbed tan with buff mottling, 25cm diam., 20cm long.	NA	"NA"	South/Latin America
Mexico	PI_438782	HW 0179	Cucurbita moschata	Fruit flattened globose, slightly ribbed, warty, buff.	NA	"NA"	South/Latin America
Mexico	PI_438784	HW 0179	Cucurbita moschata	Fruit ovate, slightly ribbed, orange, 30cm diam., 30cm long.	NA	"NA"	South/Latin America
Mexico	PI_312165	CALABASA LECHONGA	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_262890	CALABASRO SEGUALCA	Cucurbita moschata	Fruit large, oblong, dark green; squash and seeds eaten	NA	"NA"	South/Latin America
Mexico	PI_438731	HW 0179	Cucurbita moschata	Fruit flattened-oblate, deeply ribbed at base, dark buff. Rind hard. Flesh  medium thick, light orange. Locally called Knoc kun (Cascara dura).	NA	"NA"	South/Latin America
Mexico	PI_438724	HW 0179	Cucurbita moschata	Obtained from Moises Gomez. Fruit flattened ovoid, ribbed, buff. Rind hard.  Flesh thick, orange. Locally called Tockun.	NA	"NA"	South/Latin America
Mexico	PI_438780	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_442263	NA	Cucurbita moschata	Fruits green, light green striped, yellow at maturity, pyriform with pronounced  neck, 23cm long, 15cm diam. Rind 1 mm thick. Flesh lemon yellow. Local name  Calabaza de Castilla.	NA	"NA"	South/Latin America
Mexico	PI_438737	HW 0179	Cucurbita moschata	Fruit large, ovoid, ribbed, light tan, mottled dark green. Rind very hard.  Seeds many, plump.	NA	"NA"	South/Latin America
Mexico	PI_438767	HW 0179	Cucurbita moschata	Fruit bluntly obovate, shallow ribs, deep tan, 15cm long.	NA	"NA"	South/Latin America
Mexico	PI_442262	NA	Cucurbita moschata	Fruits tan, large, oblong, slightly bell-shaped, 40cm long, 26cm diam. Rind 2mm  thick. Flesh deep orange. Local name Calabaza de Castilla.	NA	"NA"	South/Latin America
Mexico	PI_438722	NA	Cucurbita moschata	Obtained from F. Cardenas R. Fruit pear shaped, 1.8kg. Seeds white with dark border.	NA	"NA"	South/Latin America
Mexico	PI_438788	HW 0179	Cucurbita moschata	Obtained by Juan Santo.	NA	"NA"	South/Latin America
Mexico	PI_438723	HW 0179	Cucurbita moschata	Fruit flat, many lobed, dull yellow. Eaten when young. Locally called Kanasin.	NA	"NA"	South/Latin America
Mexico	PI_438791	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_438725	HW 0179	Cucurbita moschata	Obtained from Moises Gomez. Fruit ovoid, slightly ribbed, buff. Locally called  Tockun.	NA	"NA"	South/Latin America
Mexico	PI_172344	PEPITO	Cucurbita moschata	Seeds are roasted, shelled, and eaten	NA	"NA"	South/Latin America
Mexico	PI_438732	HW 0179	Cucurbita moschata	Fruit extremely flat, deeply lobed, dark buff, reticulated dark green. Flesh  thin, dark orange.	NA	"NA"	South/Latin America
Mexico	PI_438733	HW 0179	Cucurbita moschata	Fruit small, flat, ribbed, dark brown. Rind thin. Flesh medium thick, dark  orange.	NA	"NA"	South/Latin America
Mexico	PI_438735	HW 0179	Cucurbita moschata	Fruit oblate-flattened, ribbed, buff. Rind hard. Many seeded.	NA	"NA"	South/Latin America
Mexico	PI_438736	HW 0179	Cucurbita moschata	Fruit spherical, ribbed, light tan. Rind very hard.	NA	"NA"	South/Latin America
Mexico	PI_574552	xmehen k'uum = early squash	Cucurbita moschata	Fruit dark green-skinned, with dark orange flesh, patty pan shaped. Seeds small, white with brown margins	NA	Landrace	South/Latin America
Mexico	PI_442264	NA	Cucurbita moschata	Fruits tan, pyriform, 25cm long, 22cm diam. Rind 0.5mm thick. Placenta deep orange. Flesh lemon yellow. Local name Calabaza de Castilla.	NA	"NA"	South/Latin America
Mexico	PI_438741	HW 0179	Cucurbita moschata	Fruit spherical, slightly ribbed, orange-buff. Rind hard. Flesh thin, pale  orange.	NA	"NA"	South/Latin America
Mexico	PI_438771	HW 0179	Cucurbita moschata	Fruit club shaped, tan with dark green spots, 10cm diam., 28cm long.	NA	"NA"	South/Latin America
Mexico	PI_438747	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_442271	NA	Cucurbita moschata	Fruits light green, tan mottling, turban-shaped, 16m long, 25cm diam. Local  name Calabaza.	NA	"NA"	South/Latin America
Mexico	PI_438790	HW 0179	Cucurbita moschata	Obtained from Jose Sinica Fiscal.	NA	"NA"	South/Latin America
